,Industry,total_wages,avg_emp,avg_industry_wage
0,"Agriculture, forestry, fishing and hunting",156111952,3057,51067.04350670592
1,Construction,2539315149,55665,45617.80560495823
2,Manufacturing,7038904949,117068,60126.63536577032
3,Wholesale trade,3396306967,61069,55614.25546512961
4,Retail trade,3330764789,112716,29550.062005394087
5,Transportation and warehousing,1974743804,44805,44074.183774132354
6,Information,8544630378,68739,124305.42163837123
7,Finance and insurance,3200833466,51594,62038.87013993875
8,Real estate and rental and leasing,831585261,23689,35104.2788213939
9,Professional and technical services,4750943841,77900,60987.72581514763
10,Management of companies and enterprises,1579487709,20914,75522.98503394856
11,Administrative and waste services,2052598672,59423,34542.15828887805
12,Educational services,402026231,13692,29362.12613204791
13,Health care and social assistance,3351471766,92474,36242.31422886433
14,"Arts, entertainment, and recreation",569995066,18732,30428.948644031603
15,Accommodation and food services,1327260492,79171,16764.47805383284
16,"Other services, except public administration",1131101360,48447,23347.190950936074
