,2_digit_naics,3_digit_naics,industry,total_wages,avg_employment,avg_wage,year
0,11,nan,"Agriculture, forestry, fishing and hunting",183124841,2381,76911,2011
1,11,111.0,Crop production,24945810,920,27115,2011
2,11,112.0,Animal production,6037364,196,30803,2011
3,11,113.0,Forestry and logging,25561250,139,183894,2011
4,11,114.0,"Fishing, hunting and trapping",120168137,904,132929,2011
5,11,115.0,Agriculture and forestry support activities,6412280,223,28755,2011
6,23,nan,Construction,2808452889,46069,60962,2011
7,23,236.0,Construction of buildings,769874687,12132,63458,2011
8,23,237.0,Heavy and civil engineering construction,393595654,5121,76859,2011
9,23,238.0,Specialty trade contractors,1644982548,28816,57086,2011
10,31-33,nan,Manufacturing,7791789006,99547,78272,2011
11,31,311.0,Food manufacturing,577437796,10978,52600,2011
12,31,312.0,Beverage and tobacco product manufacturing,89209528,1629,54763,2011
13,31,313.0,Textile mills,1919040,46,41718,2011
14,31,314.0,Textile product mills,41822850,994,42075,2011
15,31,315.0,Apparel manufacturing,44460696,1130,39346,2011
16,31,316.0,Leather and allied product manufacturing,5083503,122,41668,2011
17,32,321.0,Wood product manufacturing,38084048,756,50376,2011
18,32,322.0,Paper manufacturing,73379788,1331,55131,2011
19,32,323.0,Printing and related support activities,160977818,3217,50040,2011
20,32,324.0,Petroleum and coal products manufacturing,5319052,76,69988,2011
21,32,325.0,Chemical manufacturing,108505007,1177,92188,2011
22,32,326.0,Plastics and rubber products manufacturing,99776469,2200,45353,2011
23,32,327.0,Nonmetallic mineral product manufacturing,142626333,2715,52533,2011
24,33,331.0,Primary metal manufacturing,55419995,811,68335,2011
25,33,332.0,Fabricated metal product manufacturing,280907328,5596,50198,2011
26,33,333.0,Machinery manufacturing,313745724,4745,66121,2011
27,33,334.0,Computer and electronic product manufacturing,698806828,8125,86007,2011
28,33,335.0,Electrical equipment and appliance mfg.,88499547,1298,68181,2011
29,33,336.0,Transportation equipment manufacturing,4559851824,45725,99723,2011
30,33,337.0,Furniture and related product manufacturing,49062058,1213,40447,2011
31,33,339.0,Miscellaneous manufacturing,356893774,5662,63033,2011
32,42,nan,Wholesale trade,4467095836,58207,76745,2011
33,42,423.0,"Merchant wholesalers, durable goods",2298333203,29238,78608,2011
34,42,424.0,"Merchant wholesalers, nondurable goods",1158287774,17924,64622,2011
35,42,425.0,Electronic markets and agents and broker,1010474859,11045,91487,2011
36,44-45,nan,Retail trade,4117982594,107787,38205,2011
