"Major","ComplexType","ComplexDescr","NbrBldgs","NbrStories","NbrUnits","AvgUnitSize","LandPerUnit","ProjectLocation","ProjectAppeal","PcntWithView","ConstrClass","BldgQuality","Condition","YrBuilt","EffYr","PcntComplete","Elevators","SectySystem","Fireplace","Laundry","AptConversion","CondoLandType","Address","BuildingNumber","Fraction","DirectionPrefix","StreetName","StreetType","DirectionSuffix","ZipCode"
"024850","1","41 UNIT CONDO","10","2","41","668","2515","3","3","0","4","3","4","1979","1979","100","N","N"," ","1","N","1","14000        140TH                     AVE  SE 98005","14000","   ","  ","140TH                    ","AVE ","SE","98005"
"025135","1","30 UNIT CONDOMINIUM","6","2","30","1084","2450","1","3","0","4","4","4","1989","1989","100","N","N"," ","2","Y","1","701          5TH                       AVE  S  98032","701  ","   ","  ","5TH                      ","AVE ","S ","98032"
"026090","1","5 UNIT CONDOMINIUM","1","2","5","938","1747","3","3","100","4","5","4","1972","1994","100","N","N","N","2","Y","0","716       W  ARGAND                    ST      ","716  ","   ","W ","ARGAND                   ","ST  ","  ",""
"046470","4","172 RES UNITS + 1 COM'L UNIT","1","6","173","777","269","3","4","0","2","5","3","2004","2004","100","Y","Y","Y","2","N","1","1545      NW 57TH                      ST      98107-3018","1545 ","   ","NW","57TH                     ","ST  ","  ","98107-3018"
"047100","1","6 UNIT CONDO","1","3","6","1014","833","3","3","0","4","4","3","1991","1991","100","Y","Y","Y","2","N","1","2222      NW 58TH                      ST      98107","2222 ","   ","NW","58TH                     ","ST  ","  ","98107"
"054500","1","8 UNIT CONDOMINIUM","1","3","8","771","750","3","3","0","4","4","4","1990","1997","100","N","Y","Y","2","N","1","2855         14TH                      AVE  W  98119","2855 ","   ","  ","14TH                     ","AVE ","W ","98119"
"060550","2"," ","1","3","16","473","0","3","3","31","4","5","4","1957","1997","100","N","N","N","2","N","0","1401      S  HOLGATE                   ST      98144","1401 ","   ","S ","HOLGATE                  ","ST  ","  ","98144"
"062660","3"," ","0","0","0","0","0","0","0","0","0","0","0","2003","2003","0"," "," "," ","0"," ","0","19011        WOODINVILLE-SNOHOMISH     RD   NE 98072","19011","   ","  ","WOODINVILLE-SNOHOMISH    ","RD  ","NE","98072"
"068780","4","86 Residential, 7 Commercial ","1","13","93","589","155","3","4","0","2","6","3","2003","2003","100","Y","Y","Y","2","N","1","2716         ELLIOTT                   AVE     98121","2716 ","   ","  ","ELLIOTT                  ","AVE ","  ","98121"
"080250","1","TOWNHOUSES","1","2","3","1153","3007","2","3","0","4","4","3","1965","1965","100","N","N","N","2","Y","1","14008        GREENWOOD                 AVE  N  98133","14008","   ","  ","GREENWOOD                ","AVE ","N ","98133"
"098340","4","Flats","1","3","119","964","605","4","4","0","5","6","3","2006","2006","100","Y","Y","Y","2","N","1","375          KIRKLAND                  AVE     98033","375  ","   ","  ","KIRKLAND                 ","AVE ","  ","98033"
"102990","1","38 UNIT CONDO","1","4","38","685","414","3","3","0","4","4","3","1992","1992","100","Y","Y","Y","2","Y","1","3022      SW BRADFORD                  ST      98126","3022 ","   ","SW","BRADFORD                 ","ST  ","  ","98126"
"107950","1","FLATS","4","3","20","1084","3715","2","3","0","4","4","4","1989","1997","100","N","Y","Y","2","N","1","8653         AVONDALE                  RD   NE 98052","8653 ","   ","  ","AVONDALE                 ","RD  ","NE","98052"
"128365","4","","1","2","4","720","0","0","0","0","4","4","1","1925","1975","100"," "," "," ","0"," ","0","510          19TH                      AVE  E  98112","510  ","   ","  ","19TH                     ","AVE ","E ","98112"
"131320","1","FLATS","21","2","126","1200","3890","3","3","0","4","4","3","2000","2000","100","N","Y","Y","2","N","1","24100     SE 4TH                       PL      98074","24100","   ","SE","4TH                      ","PL  ","  ","98074"
"133080","1","91 - UNIT CONDO","1","4","91","1082","1589","4","3","0","4","5","4","1967","1985","100","Y","Y"," ","2","Y","1","2501         CANTERBURY                LN   E  98112","2501 ","   ","  ","CANTERBURY               ","LN  ","E ","98112"
"135400","1","24 UNIT CONDOS","6","2","24","980","2566","3","3","0","4","4","4","1979","1979","100","N","N"," ","2","N","1","23804        102ND                     AVE  SE 98031","23804","   ","  ","102ND                    ","AVE ","SE","98031"
"142417","1","150 Flat Units","13","2","150","748","2399","3","3","0","4","4","4","1982","1998","100","N","N","Y","2","N","1","11851     SE 175TH                     ST      98058","11851","   ","SE","175TH                    ","ST  ","  ","98058"
"147145","1"," Condominium","1","2","3","742","1759","3","3","0","4","5","4","1960","1980","100","N","N","Y","1","Y","1","12001        33RD                      AVE  NE 98125","12001","   ","  ","33RD                     ","AVE ","NE","98125"
"152220","1","18 UNIT CONDOMINIUM","1","3","18","652","824","3","3","0","4","4","3","1979","1979","100","N","N","Y","1","N","1","3024      NE 143RD                     ST      98125","3024 ","   ","NE","143RD                    ","ST  ","  ","98125"
"153010","1","13 UNIT CONDOMINIUM","2","2","13","959","2318","3","3","0","4","3","3","1980","1980","100","N","N","Y","2","N","1","1313      W  JAMES                     ST      98032","1313 ","   ","W ","JAMES                    ","ST  ","  ","98032"
"154160","1","8 UNIT CONDO","1","2","8","872","1014","3","3","0","4","4","3","1994","1994","100","N","Y","N","2","Y","1","1517      NE 147TH                     ST      ","1517 ","   ","NE","147TH                    ","ST  ","  ",""
"165750","1","14 RES CONDO","7","2","14","1836","3825","3","3","0","4","5","3","1984","1984","100","N","N","Y","2","N","1","12326        101ST                     CT   NE 98034","12326","   ","  ","101ST                    ","CT  ","NE","98034"
"169750","4","37 RES UNITS + 10 COML UNITS","1","6","47","1078","357","3","4","0","3","5","5","1902","1980","100","Y","Y"," ","1","Y","1","1119         1ST                       AVE     98101","1119 ","   ","  ","1ST                      ","AVE ","  ","98101"
"172440","1","12 Unit Condominium Complex","1","2","12","714","0","3","3","0","4","4","3","2003","2004","100","N","Y","Y","2","N","1","5122      S  MAYFLOWER                 ST      98118","5122 ","   ","S ","MAYFLOWER                ","ST  ","  ","98118"
"178695","1","60 UNIT CONDO CONVERSION","15","2","60","1023","6944","3","3","0","4","4","4","1967","1967","100","N","N","N","2","Y","1","12404     SE 272ND                     PL      98030","12404","   ","SE","272ND                    ","PL  ","  ","98030"
"179200","1","10 TOWNHOUSE UNITS","2","4","10","1096","1200","3","4","0","4","6","4","1988","2000","100","N","Y","Y","2","N","1","3003         14TH                      AVE  W  98119","3003 ","   ","  ","14TH                     ","AVE ","W ","98119"
"002450","1","CONDO 33 UNITS","1","3","33","1189","1503","3","3","0","4","4","4","1979","1979","100","N","Y","Y","2","N","1","22700        28TH                      AVE  S  98198","22700","   ","  ","28TH                     ","AVE ","S ","98198"
"016220","1","24 FLAT UNITS + 2 PARKING UNITS","1","4","24","802","416","3","3","0","4","4","4","1987","1997","100","Y","Y","N","2","Y","1","800       N  ALLEN                     PL      98103","800  ","   ","N ","ALLEN                    ","PL  ","  ","98103"
"029315","1","TOWNHOUSES","4","2","10","933","3195","3","3","0","4","3","3","1990","1990","100","N","N","Y","2","Y","1","1220      NE 177TH                     PL      98155","1220 ","   ","NE","177TH                    ","PL  ","  ","98155"
"029420","4","91 RES UNITS + 2 COML UNITS","1","7","93","636","232","3","4","40","4","5","4","1999","1999","100","Y","Y"," ","2","Y","1","323          QUEEN ANNE                AVE  N  98109","323  ","   ","  ","QUEEN ANNE               ","AVE ","N ","98109"
"032150","1"," 18 CONDO Flats","1","5","18","1043","533","3","3","44","1","5","3","2007","2007","100","Y","Y","Y","2","N","1","3112      SW AVALON                    WAY     ","3112 ","   ","SW","AVALON                   ","WAY ","  ",""
"045160","1","TH & FLATS","7","2","72","1046","2228","3","3","0","4","4","4","1980","1980","100","N","N","Y","2","N","1","4160         128TH                     AVE  SE 98006","4160 ","   ","  ","128TH                    ","AVE ","SE","98006"
"051240","4","17 RES 8 COM'L 1 APT + 22 PKG","2","7","26","1800","554","3","4","0","2","6","3","1994","1994","100","Y","Y"," ","2","N","1","80           VINE                      ST      98121","80   ","   ","  ","VINE                     ","ST  ","  ","98121"
"058650","1","23 UNIT CONDOMINIUM","6","2","23","1446","6364","3","3","0","4","6","4","1978","1998","100","N","N","Y","2","N","1","10003     NE 115TH                     LN      98033","10003","   ","NE","115TH                    ","LN  ","  ","98033"
