,2_digit_naics,3_digit_naics,industry,avg_wage,monthly_rent_allowance,year,98103,98115,98133,98122,98125,98109,98105,98118,98102,98107,98117,98121,98116,98112,98101,98126,98104
0,11,,"Agriculture, forestry, fishing and hunting",76911.0,2136.4166666666665,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,11,111.0,Crop production,27115.0,753.1944444444445,2011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2,11,112.0,Animal production,30803.0,855.6388888888887,2011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
3,11,113.0,Forestry and logging,183894.0,5108.166666666667,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,11,114.0,"Fishing, hunting and trapping",132929.0,3692.472222222222,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,11,115.0,Agriculture and forestry support activities,28755.0,798.75,2011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
6,23,,Construction,60962.0,1693.388888888889,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
7,23,236.0,Construction of buildings,63458.0,1762.7222222222226,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
8,23,237.0,Heavy and civil engineering construction,76859.0,2134.972222222222,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,23,238.0,Specialty trade contractors,57086.0,1585.7222222222226,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
10,31-33,,Manufacturing,78272.0,2174.222222222222,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,31,311.0,Food manufacturing,52600.0,1461.111111111111,2011,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,True,True
12,31,312.0,Beverage and tobacco product manufacturing,54763.0,1521.1944444444446,2011,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True
13,31,313.0,Textile mills,41718.0,1158.8333333333333,2011,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False
14,31,314.0,Textile product mills,42075.0,1168.75,2011,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False
15,31,315.0,Apparel manufacturing,39346.0,1092.9444444444446,2011,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
16,31,316.0,Leather and allied product manufacturing,41668.0,1157.4444444444443,2011,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False
17,32,321.0,Wood product manufacturing,50376.0,1399.333333333333,2011,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,True,True
18,32,322.0,Paper manufacturing,55131.0,1531.416666666667,2011,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True
19,32,323.0,Printing and related support activities,50040.0,1390.0,2011,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,True,True
20,32,324.0,Petroleum and coal products manufacturing,69988.0,1944.111111111111,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
21,32,325.0,Chemical manufacturing,92188.0,2560.777777777778,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,32,326.0,Plastics and rubber products manufacturing,45353.0,1259.8055555555557,2011,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,True,True
23,32,327.0,Nonmetallic mineral product manufacturing,52533.0,1459.25,2011,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,True,True
24,33,331.0,Primary metal manufacturing,68335.0,1898.1944444444446,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
25,33,332.0,Fabricated metal product manufacturing,50198.0,1394.388888888889,2011,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,True,True
26,33,333.0,Machinery manufacturing,66121.0,1836.6944444444446,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
27,33,334.0,Computer and electronic product manufacturing,86007.0,2389.083333333333,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
28,33,335.0,Electrical equipment and appliance mfg.,68181.0,1893.916666666667,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
29,33,336.0,Transportation equipment manufacturing,99723.0,2770.083333333333,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
30,33,337.0,Furniture and related product manufacturing,40447.0,1123.5277777777776,2011,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False
31,33,339.0,Miscellaneous manufacturing,63033.0,1750.916666666667,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
