zipcode,neighborhood,2011,2012,2013,2014,2015,2016,2017
98103.0,Wallingford,,,,,,1740.0,1795.0
98115.0,Wedgewood,,,,,1474.75,1700.0,1725.5
98133.0,North Park,,,,,,,1379.5
98122.0,Capitol Hill/Madrona,1192.5,1405.0,1450.0,1729.25,1800.0,1826.0,1937.5
98125.0,Lake City,,,,,,,1374.75
98109.0,Westlake,1337.0,1450.0,1641.0,1715.5,1834.75,1950.25,2100.0
98105.0,University District,,,,,1508.25,1500.0,1589.5
98118.0,Rainier Valley,,,,,,,1762.5
98102.0,Captiol Hill,,1495.0,1462.5,1506.25,1740.0,1718.5,1783.75
98107.0,Ballard,,,1785.0,1780.0,1731.25,1728.75,1871.5
98117.0,Crown Hill,,,,,,,1662.5
98121.0,BellTown,1515.0,1528.75,1688.75,1749.25,1927.5,2036.5,2583.25
98116.0,West Seattle/Alki,,,,,,1601.0,1835.25
98112.0,Montlake,,,,,,,1645.0
98101.0,Downtown,,,,,,2241.0,2542.5
98126.0,West Seattle,,,,,,,1601.0
98104.0,Pioneer Square,,,,,,1840.0,1977.0
98106.0,Highland Park,,,,,,,1291.2130081300813
98108.0,Georgetown/Beacon Hill,,,,,,,1903.935185185185
98119.0,Queen Anne,,,,,,,2360.0
98136.0,Fauntleroy,,,,,,,1785.4073773814348
98144.0,Mt. Baker,,,,,,,1750.479251240415
98177.0,Richmond Beach,,,,,,,1456.0146044992744
98199.0,Magnolia,,,,,,,1704.4319206492335
