zipcode,neighborhood,2011,2012,2013,2014,2015,2016,2017
98103.0,Wallingford,,,,,,2170.0,2300.0
98115.0,Wedgewood,,,,,,,2295.0
98133.0,North Park,,,,1475.0,1495.0,1597.5,1736.0
98122.0,Capitol Hill/Madrona,,,,2195.0,2483.75,2485.0,2690.5
98125.0,Lake City,,,,,,1678.5,1799.5
98105.0,University District,,,,,,,2096.25
98118.0,Rainier Valley,,,,,,,2325.5
98102.0,Captiol Hill,,,,,,,2584.5
98107.0,Ballard,,,,,,2415.0,2497.5
98117.0,Crown Hill,,,,,,,2295.0
98116.0,West Seattle/Alki,,,,,,2000.0,2475.0
98144.0,Mt. Baker,,,,,,,2253.75
98112.0,Montlake,,,,,,,2495.0
98106.0,Highland Park,,,,,,,1892.75
98101.0,Downtown,,,,,,,3500.0
98126.0,West Seattle,,,,,,,2197.5
98199.0,Magnolia,,,,,,,2195.0
98104.0,Pioneer Square,,,,,,,2838.75
98108.0,Georgetown/Beacon Hill,,,,,,,2512.114197530864
98109.0,Westlake,,,,,,,2555.2966101694915
98119.0,Queen Anne,,,,,,,2564.455445544554
98121.0,BellTown,,,,,,,3502.9045643153527
98136.0,Fauntleroy,,,,,,,2407.7827320632346
98177.0,Richmond Beach,,,,,,,2009.9570029027575
