zipcode,neighborhood,2011,2012,2013,2014,2015,2016,2017
98103,Wallingford,,,,,,2170.0,2300.0
98115,Wedgewood,,,,,,,2295.0
98133,North Park,,,,1475.0,1495.0,1597.5,1736.0
98122,Capitol Hill/Madrona,,,,2195.0,2483.75,2485.0,2690.5
98125,Lake City,,,,,,1678.5,1799.5
98105,University District,,,,,,,2096.25
98118,Rainier Valley,,,,,,,2325.5
98102,Captiol Hill,,,,,,,2584.5
98107,Ballard,,,,,,2415.0,2497.5
98117,Crown Hill,,,,,,,2295.0
98116,West Seattle/Alki,,,,,,2000.0,2475.0
98144,Mt. Baker,,,,,,,2253.75
98112,Montlake,,,,,,,2495.0
98106,Highland Park,,,,,,,1892.75
98101,Downtown,,,,,,,3500.0
98126,West Seattle,,,,,,,2197.5
98199,Magnolia,,,,,,,2195.0
98104,Pioneer Square,,,,,,,2838.75
