industry,avg_wage,monthly_rent_allowance,year
Crop production,27115.0,753.1944444444445,2011
Crop production,27566.0,765.7222222222222,2012
Crop production,29316.0,814.3333333333334,2013
Crop production,30371.0,843.6388888888888,2014
Crop production,30446.0,845.7222222222222,2015
Crop production,32322.0,897.8333333333334,2016
Crop production,34048.0,945.7777777777778,2017
Crop production,34575.68461003613,960.4356836121146,2018
Crop production,35698.57748365096,991.6271523236378,2019
Animal production,30803.0,855.6388888888888,2011
Animal production,29939.0,831.6388888888888,2012
Animal production,30298.0,841.6111111111112,2013
Animal production,32758.0,909.9444444444445,2014
Animal production,34719.0,964.4166666666666,2015
Animal production,35890.0,996.9444444444445,2016
Animal production,36032.0,1000.8888888888888,2017
Animal production,35881.083713378044,996.6967698160569,2018
Animal production,36564.91757386319,1015.692154829533,2019
Forestry and logging,183894.0,5108.166666666667,2011
Forestry and logging,316375.0,8788.194444444443,2012
Forestry and logging,205555.0,5709.86111111111,2013
Forestry and logging,215949.0,5998.583333333333,2014
Forestry and logging,204592.0,5683.11111111111,2015
Forestry and logging,564832.0,15689.77777777778,2016
Forestry and logging,85805.0,2383.472222222222,2017
Forestry and logging,269429.49596851453,7484.15266579207,2018
Forestry and logging,262734.24245181505,7298.173401439307,2019
"Fishing, hunting and trapping",132929.0,3692.472222222222,2011
"Fishing, hunting and trapping",131386.0,3649.6111111111113,2012
"Fishing, hunting and trapping",115181.0,3199.472222222222,2013
"Fishing, hunting and trapping",111657.0,3101.5833333333335,2014
"Fishing, hunting and trapping",96225.0,2672.9166666666665,2015
"Fishing, hunting and trapping",104263.0,2896.194444444445,2016
"Fishing, hunting and trapping",129062.0,3585.055555555555,2017
"Fishing, hunting and trapping",126157.24681960733,3504.3679672113144,2018
"Fishing, hunting and trapping",118349.24646230412,3287.4790683973365,2019
Agriculture and forestry support activities,28755.0,798.75,2011
Agriculture and forestry support activities,27398.0,761.0555555555555,2012
Agriculture and forestry support activities,31024.0,861.7777777777778,2013
Agriculture and forestry support activities,36024.0,1000.6666666666666,2014
Agriculture and forestry support activities,35524.0,986.7777777777778,2015
Agriculture and forestry support activities,31806.0,883.5,2016
Agriculture and forestry support activities,34269.0,951.9166666666666,2017
Agriculture and forestry support activities,35254.426195164684,979.2896165323523,2018
Agriculture and forestry support activities,32392.994513005033,899.8054031390287,2019
Construction of buildings,63458.0,1762.7222222222224,2011
Construction of buildings,64992.0,1805.3333333333333,2012
Construction of buildings,64865.0,1801.8055555555557,2013
Construction of buildings,67061.0,1862.8055555555557,2014
Construction of buildings,70111.0,1947.5277777777776,2015
Construction of buildings,73113.0,2030.9166666666667,2016
Construction of buildings,76358.0,2121.0555555555557,2017
Construction of buildings,78508.0,2180.777777777778,2018
Construction of buildings,80658.0,2240.5,2019
Heavy and civil engineering construction,76859.0,2134.972222222222,2011
Heavy and civil engineering construction,77897.0,2163.8055555555557,2012
Heavy and civil engineering construction,77008.0,2139.111111111111,2013
Heavy and civil engineering construction,78428.0,2178.5555555555557,2014
Heavy and civil engineering construction,79800.0,2216.6666666666665,2015
Heavy and civil engineering construction,82965.0,2304.5833333333335,2016
Heavy and civil engineering construction,88165.0,2449.027777777778,2017
Heavy and civil engineering construction,93568.37926789088,2599.121646330302,2018
Heavy and civil engineering construction,100569.71327081343,2793.603146411484,2019
Specialty trade contractors,57086.0,1585.7222222222224,2011
Specialty trade contractors,56277.0,1563.25,2012
Specialty trade contractors,57527.0,1597.9722222222224,2013
Specialty trade contractors,59112.0,1642.0,2014
Specialty trade contractors,61935.0,1720.4166666666667,2015
Specialty trade contractors,64964.0,1804.5555555555557,2016
Specialty trade contractors,67551.0,1876.4166666666667,2017
Specialty trade contractors,70817.2,1967.1444444444444,2018
Specialty trade contractors,74762.6,2076.738888888889,2019
Food manufacturing,52600.0,1461.111111111111,2011
Food manufacturing,53957.0,1498.8055555555557,2012
Food manufacturing,52561.0,1460.0277777777776,2013
Food manufacturing,53432.0,1484.2222222222224,2014
Food manufacturing,54010.0,1500.2777777777776,2015
Food manufacturing,54068.0,1501.888888888889,2016
Food manufacturing,58095.0,1613.75,2017
Food manufacturing,54103.28571428571,1502.8690476190475,2018
Food manufacturing,54103.28571428571,1502.8690476190475,2019
Beverage and tobacco product manufacturing,54763.0,1521.1944444444443,2011
Beverage and tobacco product manufacturing,55398.0,1538.8333333333333,2012
Beverage and tobacco product manufacturing,53498.0,1486.0555555555557,2013
Beverage and tobacco product manufacturing,49861.0,1385.0277777777776,2014
Beverage and tobacco product manufacturing,49618.0,1378.2777777777776,2015
Beverage and tobacco product manufacturing,49761.0,1382.25,2016
Beverage and tobacco product manufacturing,51739.0,1437.1944444444443,2017
Beverage and tobacco product manufacturing,51235.0,1423.1944444444443,2018
Beverage and tobacco product manufacturing,50731.0,1409.1944444444443,2019
Textile mills,41718.0,1158.8333333333333,2011
Textile mills,39832.0,1106.4444444444446,2012
Textile mills,36063.0,1001.75,2013
Textile mills,37938.0,1053.8333333333333,2014
Textile mills,37002.0,1027.8333333333333,2015
Textile mills,42311.0,1175.3055555555554,2016
Textile mills,44370.0,1232.5,2017
Textile mills,39890.57142857142,1108.0714285714282,2018
Textile mills,39890.57142857142,1108.0714285714282,2019
Textile product mills,42075.0,1168.75,2011
Textile product mills,43806.0,1216.8333333333333,2012
Textile product mills,44293.0,1230.361111111111,2013
Textile product mills,46140.0,1281.6666666666667,2014
Textile product mills,47952.0,1332.0,2015
Textile product mills,67849.0,1884.6944444444443,2016
Textile product mills,54607.0,1516.861111111111,2017
Textile product mills,63044.22832784453,1751.228564662348,2018
Textile product mills,66234.98284921062,1839.860634700295,2019
Apparel manufacturing,39346.0,1092.9444444444446,2011
Apparel manufacturing,41385.0,1149.5833333333333,2012
Apparel manufacturing,41846.0,1162.388888888889,2013
Apparel manufacturing,43270.0,1201.9444444444446,2014
Apparel manufacturing,43574.0,1210.388888888889,2015
Apparel manufacturing,44123.0,1225.638888888889,2016
Apparel manufacturing,45521.0,1264.4722222222222,2017
Apparel manufacturing,46392.35669065588,1288.676574740441,2018
Apparel manufacturing,47311.24954209426,1314.201376169285,2019
Leather and allied product manufacturing,41668.0,1157.4444444444446,2011
Leather and allied product manufacturing,38656.0,1073.7777777777778,2012
Leather and allied product manufacturing,39412.0,1094.7777777777778,2013
Leather and allied product manufacturing,41559.0,1154.4166666666667,2014
Leather and allied product manufacturing,32401.0,900.0277777777778,2015
Leather and allied product manufacturing,35234.0,978.7222222222222,2016
Leather and allied product manufacturing,35760.0,993.3333333333334,2017
Leather and allied product manufacturing,37812.85714285714,1050.3571428571427,2018
Leather and allied product manufacturing,37812.85714285714,1050.3571428571427,2019
Wood product manufacturing,50376.0,1399.3333333333333,2011
Wood product manufacturing,49195.0,1366.5277777777776,2012
Wood product manufacturing,52519.0,1458.861111111111,2013
Wood product manufacturing,51588.0,1433.0,2014
Wood product manufacturing,53912.0,1497.5555555555557,2015
Wood product manufacturing,54924.0,1525.6666666666667,2016
Wood product manufacturing,58770.0,1632.5,2017
Wood product manufacturing,58102.64405120064,1613.9623347555732,2018
Wood product manufacturing,61287.79497681993,1702.4387493561092,2019
Paper manufacturing,55131.0,1531.4166666666667,2011
Paper manufacturing,56424.0,1567.3333333333333,2012
Paper manufacturing,57502.0,1597.2777777777776,2013
Paper manufacturing,61059.0,1696.0833333333333,2014
Paper manufacturing,62206.0,1727.9444444444443,2015
Paper manufacturing,62748.0,1743.0,2016
Paper manufacturing,64758.0,1798.8333333333333,2017
Paper manufacturing,66608.63698237618,1850.2399161771161,2018
Paper manufacturing,68259.81557586609,1896.1059882185025,2019
Printing and related support activities,50040.0,1390.0,2011
Printing and related support activities,50529.0,1403.5833333333333,2012
Printing and related support activities,50911.0,1414.1944444444443,2013
Printing and related support activities,52468.0,1457.4444444444443,2014
Printing and related support activities,53903.0,1497.3055555555557,2015
Printing and related support activities,54584.0,1516.2222222222224,2016
Printing and related support activities,52485.0,1457.9166666666667,2017
Printing and related support activities,52892.499987773735,1469.2361107714926,2018
Printing and related support activities,53299.99997554747,1480.5555548763186,2019
Petroleum and coal products manufacturing,69988.0,1944.111111111111,2011
Petroleum and coal products manufacturing,74236.0,2062.111111111111,2012
Petroleum and coal products manufacturing,88604.0,2461.222222222222,2013
Petroleum and coal products manufacturing,95008.0,2639.111111111111,2014
Petroleum and coal products manufacturing,84317.0,2342.138888888889,2015
Petroleum and coal products manufacturing,84971.0,2360.3055555555557,2016
Petroleum and coal products manufacturing,84674.0,2352.0555555555557,2017
Petroleum and coal products manufacturing,80313.99347212912,2230.944263114698,2018
Petroleum and coal products manufacturing,81995.44664923537,2277.6512958120934,2019
Chemical manufacturing,92188.0,2560.777777777778,2011
Chemical manufacturing,68659.0,1907.1944444444443,2012
Chemical manufacturing,70256.0,1951.5555555555557,2013
Chemical manufacturing,72295.0,2008.1944444444443,2014
Chemical manufacturing,73400.0,2038.888888888889,2015
Chemical manufacturing,80710.0,2241.9444444444443,2016
Chemical manufacturing,84594.0,2349.8333333333335,2017
Chemical manufacturing,77443.14285714286,2151.1984126984125,2018
Chemical manufacturing,77443.14285714286,2151.1984126984125,2019
Plastics and rubber products manufacturing,45353.0,1259.8055555555554,2011
Plastics and rubber products manufacturing,44685.0,1241.25,2012
Plastics and rubber products manufacturing,45187.0,1255.1944444444446,2013
Plastics and rubber products manufacturing,45965.0,1276.8055555555554,2014
Plastics and rubber products manufacturing,48662.0,1351.7222222222222,2015
Plastics and rubber products manufacturing,51017.0,1417.138888888889,2016
Plastics and rubber products manufacturing,50983.0,1416.1944444444443,2017
Plastics and rubber products manufacturing,51921.333333333336,1442.2592592592594,2018
Plastics and rubber products manufacturing,52859.66666666667,1468.3240740740741,2019
Nonmetallic mineral product manufacturing,52533.0,1459.25,2011
Nonmetallic mineral product manufacturing,53690.0,1491.388888888889,2012
Nonmetallic mineral product manufacturing,55014.0,1528.1666666666667,2013
Nonmetallic mineral product manufacturing,57102.0,1586.1666666666667,2014
Nonmetallic mineral product manufacturing,59279.0,1646.638888888889,2015
Nonmetallic mineral product manufacturing,62213.0,1728.138888888889,2016
Nonmetallic mineral product manufacturing,63412.0,1761.4444444444443,2017
Nonmetallic mineral product manufacturing,65225.166666666664,1811.8101851851852,2018
Nonmetallic mineral product manufacturing,67038.33333333333,1862.1759259259259,2019
Primary metal manufacturing,68335.0,1898.1944444444443,2011
Primary metal manufacturing,80766.0,2243.5,2012
Primary metal manufacturing,69466.0,1929.611111111111,2013
Primary metal manufacturing,70783.0,1966.1944444444443,2014
Primary metal manufacturing,72568.0,2015.7777777777776,2015
Primary metal manufacturing,70846.0,1967.9444444444443,2016
Primary metal manufacturing,75240.0,2090.0,2017
Primary metal manufacturing,71489.51192278917,1985.8197756330326,2018
Primary metal manufacturing,72469.13095594522,2013.0314154429227,2019
Fabricated metal product manufacturing,50198.0,1394.388888888889,2011
Fabricated metal product manufacturing,52789.0,1466.361111111111,2012
Fabricated metal product manufacturing,52284.0,1452.3333333333333,2013
Fabricated metal product manufacturing,55414.0,1539.2777777777776,2014
Fabricated metal product manufacturing,55150.0,1531.9444444444443,2015
Fabricated metal product manufacturing,55892.0,1552.5555555555557,2016
Fabricated metal product manufacturing,57221.0,1589.4722222222224,2017
Fabricated metal product manufacturing,58021.466002651505,1611.7073889625417,2018
Fabricated metal product manufacturing,59240.597827067744,1645.572161862993,2019
Machinery manufacturing,66121.0,1836.6944444444443,2011
Machinery manufacturing,67227.0,1867.4166666666667,2012
Machinery manufacturing,67230.0,1867.5,2013
Machinery manufacturing,70642.0,1962.2777777777776,2014
Machinery manufacturing,71503.0,1986.1944444444443,2015
Machinery manufacturing,71559.0,1987.75,2016
Machinery manufacturing,75821.0,2106.138888888889,2017
Machinery manufacturing,75802.94644394648,2105.6374012207357,2018
Machinery manufacturing,77304.267848431,2147.340773567528,2019
Computer and electronic product manufacturing,86007.0,2389.0833333333335,2011
Computer and electronic product manufacturing,88567.0,2460.1944444444443,2012
Computer and electronic product manufacturing,90076.0,2502.111111111111,2013
Computer and electronic product manufacturing,93148.0,2587.4444444444443,2014
Computer and electronic product manufacturing,96788.0,2688.5555555555557,2015
Computer and electronic product manufacturing,109283.0,3035.6388888888887,2016
Computer and electronic product manufacturing,102023.0,2833.972222222222,2017
Computer and electronic product manufacturing,109437.59208482024,3039.933113467229,2018
Computer and electronic product manufacturing,112873.01999285155,3135.361666468099,2019
Electrical equipment and appliance mfg.,68181.0,1893.9166666666667,2011
Electrical equipment and appliance mfg.,66829.0,1856.361111111111,2012
Electrical equipment and appliance mfg.,68069.0,1890.8055555555557,2013
Electrical equipment and appliance mfg.,72311.0,2008.638888888889,2014
Electrical equipment and appliance mfg.,76298.0,2119.388888888889,2015
Electrical equipment and appliance mfg.,75498.0,2097.1666666666665,2016
Electrical equipment and appliance mfg.,76961.40000000001,2137.816666666667,2017
Electrical equipment and appliance mfg.,78424.8,2178.4666666666667,2018
Electrical equipment and appliance mfg.,79888.20000000001,2219.1166666666672,2019
Transportation equipment manufacturing,99723.0,2770.0833333333335,2011
Transportation equipment manufacturing,99712.0,2769.777777777778,2012
Transportation equipment manufacturing,104609.0,2905.805555555555,2013
Transportation equipment manufacturing,113114.0,3142.055555555555,2014
Transportation equipment manufacturing,110825.0,3078.472222222222,2015
Transportation equipment manufacturing,111757.0,3104.3611111111113,2016
Transportation equipment manufacturing,117075.0,3252.0833333333335,2017
Transportation equipment manufacturing,119860.08437031419,3329.446788064283,2018
Transportation equipment manufacturing,122801.58459584074,3411.155127662243,2019
Furniture and related product manufacturing,40447.0,1123.5277777777778,2011
Furniture and related product manufacturing,39534.0,1098.1666666666667,2012
Furniture and related product manufacturing,41340.0,1148.3333333333333,2013
Furniture and related product manufacturing,41686.0,1157.9444444444446,2014
Furniture and related product manufacturing,41966.0,1165.7222222222222,2015
Furniture and related product manufacturing,44802.0,1244.5,2016
Furniture and related product manufacturing,46506.0,1291.8333333333333,2017
Furniture and related product manufacturing,47515.833333333336,1319.8842592592594,2018
Furniture and related product manufacturing,48525.66666666667,1347.9351851851854,2019
Miscellaneous manufacturing,63033.0,1750.9166666666667,2011
Miscellaneous manufacturing,64857.0,1801.5833333333333,2012
Miscellaneous manufacturing,66858.0,1857.1666666666667,2013
Miscellaneous manufacturing,67329.0,1870.25,2014
Miscellaneous manufacturing,69839.0,1939.9722222222224,2015
Miscellaneous manufacturing,69876.0,1941.0,2016
Miscellaneous manufacturing,72491.0,2013.638888888889,2017
Miscellaneous manufacturing,72957.78348722591,2026.6050968673865,2018
Miscellaneous manufacturing,75269.30639458013,2090.8140665161145,2019
"Merchant wholesalers, durable goods",78608.0,2183.5555555555557,2011
"Merchant wholesalers, durable goods",80254.0,2229.277777777778,2012
"Merchant wholesalers, durable goods",80343.0,2231.75,2013
"Merchant wholesalers, durable goods",82722.0,2297.8333333333335,2014
"Merchant wholesalers, durable goods",86469.0,2401.9166666666665,2015
"Merchant wholesalers, durable goods",89443.0,2484.527777777778,2016
"Merchant wholesalers, durable goods",95070.0,2640.8333333333335,2017
"Merchant wholesalers, durable goods",100657.3429496778,2796.037304157717,2018
"Merchant wholesalers, durable goods",107099.77162344383,2974.993656206773,2019
"Merchant wholesalers, nondurable goods",64622.0,1795.0555555555557,2011
"Merchant wholesalers, nondurable goods",65904.0,1830.6666666666667,2012
"Merchant wholesalers, nondurable goods",65605.0,1822.361111111111,2013
"Merchant wholesalers, nondurable goods",66586.0,1849.611111111111,2014
"Merchant wholesalers, nondurable goods",67449.0,1873.5833333333333,2015
"Merchant wholesalers, nondurable goods",68046.0,1890.1666666666667,2016
"Merchant wholesalers, nondurable goods",70332.0,1953.6666666666667,2017
"Merchant wholesalers, nondurable goods",71283.66666666667,1980.101851851852,2018
"Merchant wholesalers, nondurable goods",72235.33333333333,2006.5370370370367,2019
Electronic markets and agents and broker,91487.0,2541.3055555555557,2011
Electronic markets and agents and broker,94836.0,2634.3333333333335,2012
Electronic markets and agents and broker,94861.0,2635.027777777778,2013
Electronic markets and agents and broker,99481.0,2763.3611111111113,2014
Electronic markets and agents and broker,102831.0,2856.4166666666665,2015
Electronic markets and agents and broker,107132.0,2975.8888888888887,2016
Electronic markets and agents and broker,112231.0,3117.527777777778,2017
Electronic markets and agents and broker,115688.33333333331,3213.5648148148143,2018
Electronic markets and agents and broker,119145.66666666664,3309.601851851851,2019
Motor vehicle and parts dealers,49093.0,1363.6944444444446,2011
Motor vehicle and parts dealers,50183.0,1393.9722222222224,2012
Motor vehicle and parts dealers,52226.0,1450.7222222222224,2013
Motor vehicle and parts dealers,53548.0,1487.4444444444443,2014
Motor vehicle and parts dealers,53814.0,1494.8333333333333,2015
Motor vehicle and parts dealers,55354.0,1537.611111111111,2016
Motor vehicle and parts dealers,57330.0,1592.5,2017
Motor vehicle and parts dealers,58258.39886317097,1618.2888573103048,2018
Motor vehicle and parts dealers,59567.00601792876,1654.6390560535767,2019
Furniture and home furnishings stores,35469.0,985.25,2011
Furniture and home furnishings stores,37196.0,1033.2222222222222,2012
Furniture and home furnishings stores,38599.0,1072.1944444444446,2013
Furniture and home furnishings stores,41423.0,1150.638888888889,2014
Furniture and home furnishings stores,44168.0,1226.888888888889,2015
Furniture and home furnishings stores,43120.0,1197.7777777777778,2016
Furniture and home furnishings stores,46456.14274015586,1290.4484094487739,2017
Furniture and home furnishings stores,48227.428442712946,1339.6507900753597,2018
Furniture and home furnishings stores,49998.71414527004,1388.8531707019456,2019
Electronics and appliance stores,43433.0,1206.4722222222222,2011
Electronics and appliance stores,44855.0,1245.9722222222222,2012
Electronics and appliance stores,46821.0,1300.5833333333333,2013
Electronics and appliance stores,48402.0,1344.5,2014
Electronics and appliance stores,51775.0,1438.1944444444443,2015
Electronics and appliance stores,57849.0,1606.9166666666667,2016
Electronics and appliance stores,58945.0,1637.361111111111,2017
Electronics and appliance stores,61530.33333333334,1709.175925925926,2018
Electronics and appliance stores,64115.66666666667,1780.9907407407409,2019
Building material and garden supply stores,33843.0,940.0833333333334,2011
Building material and garden supply stores,34519.0,958.8611111111112,2012
Building material and garden supply stores,34952.0,970.8888888888888,2013
Building material and garden supply stores,35125.0,975.6944444444445,2014
Building material and garden supply stores,37625.0,1045.138888888889,2015
Building material and garden supply stores,38360.0,1065.5555555555554,2016
Building material and garden supply stores,41842.0,1162.2777777777778,2017
Building material and garden supply stores,43175.166666666664,1199.310185185185,2018
Building material and garden supply stores,44508.33333333333,1236.3425925925924,2019
Food and beverage stores,28963.0,804.5277777777778,2011
Food and beverage stores,29558.0,821.0555555555555,2012
Food and beverage stores,30194.0,838.7222222222222,2013
Food and beverage stores,30652.0,851.4444444444445,2014
Food and beverage stores,31365.0,871.25,2015
Food and beverage stores,31797.0,883.25,2016
Food and beverage stores,33135.0,920.4166666666666,2017
Food and beverage stores,33830.333333333336,939.7314814814816,2018
Food and beverage stores,34525.666666666664,959.0462962962962,2019
Health and personal care stores,37540.0,1042.7777777777778,2011
Health and personal care stores,38240.0,1062.2222222222222,2012
Health and personal care stores,40477.0,1124.361111111111,2013
Health and personal care stores,40809.0,1133.5833333333333,2014
Health and personal care stores,40873.0,1135.361111111111,2015
Health and personal care stores,42459.0,1179.4166666666667,2016
Health and personal care stores,43862.0,1218.388888888889,2017
Health and personal care stores,44534.19049703777,1237.060847139938,2018
Health and personal care stores,45527.04764233212,1264.6402122870034,2019
Gasoline stations,21504.0,597.3333333333334,2011
Gasoline stations,21658.0,601.6111111111111,2012
Gasoline stations,21638.0,601.0555555555555,2013
Gasoline stations,22110.0,614.1666666666666,2014
Gasoline stations,23353.0,648.6944444444445,2015
Gasoline stations,24885.0,691.25,2016
Gasoline stations,26761.5,743.375,2017
Gasoline stations,28982.5,805.0694444444445,2018
Gasoline stations,31547.999999999996,876.3333333333331,2019
Clothing and clothing accessories stores,21385.0,594.0277777777777,2011
Clothing and clothing accessories stores,21697.0,602.6944444444445,2012
Clothing and clothing accessories stores,22667.0,629.6388888888889,2013
Clothing and clothing accessories stores,24292.0,674.7777777777777,2014
