zipcode,neighborhood,med_rent,year
98103,Wallingford,1340.261780104712,2011
98115,Wedgewood,1394.371727748691,2011
98133,North Park,873.8756544502618,2011
98122,Capitol Hill/Madrona,1192.5,2011
98125,Lake City,751.2958115183246,2011
98109,Westlake,1337.0,2011
98105,University District,1498.4293193717278,2011
98118,Rainier Valley,942.761780104712,2011
98102,Captiol Hill,1167.526178010471,2011
98107,Ballard,1394.163612565445,2011
98117,Ballard,1565.026178010471,2011
98121,BellTown,1515.0,2011
98116,West Seattle/Alki,1556.5975130890051,2011
98112,Montlake,2006.2303664921465,2011
98101,Downtown,1706.544502617801,2011
98126,West Seattle,1098.608835078534,2011
98104,Pioneer Square,1237.2447643979058,2011
98103,Wallingford,1381.967213114754,2012
98115,Wedgewood,1434.9426229508197,2012
98133,North Park,852.2131147540983,2012
98122,Capitol Hill/Madrona,1405.0,2012
98125,Lake City,760.0819672131148,2012
98109,Westlake,1450.0,2012
98105,University District,1934.7540983606557,2012
98118,Rainier Valley,1001.9262295081968,2012
98102,Captiol Hill,1495.0,2012
98107,Ballard,1451.065573770492,2012
98117,Ballard,1919.782786885246,2012
98121,BellTown,1528.75,2012
98116,West Seattle/Alki,1727.4590163934427,2012
98112,Montlake,1835.7131147540983,2012
98101,Downtown,1814.983606557377,2012
98126,West Seattle,1151.639344262295,2012
98104,Pioneer Square,1144.2688524590164,2012
98103,Wallingford,1553.1729224376732,2013
98115,Wedgewood,1641.793628808864,2013
98133,North Park,945.1108033240997,2013
98122,Capitol Hill/Madrona,1450.0,2013
98125,Lake City,792.7784626038782,2013
98109,Westlake,1641.0,2013
98105,University District,1867.7285318559555,2013
98118,Rainier Valley,1209.0027700831026,2013
98102,Captiol Hill,1462.5,2013
98107,Ballard,1785.0,2013
98117,Ballard,1707.0637119113574,2013
98121,BellTown,1688.75,2013
98116,West Seattle/Alki,1518.2825484764544,2013
98112,Montlake,2080.6094182825486,2013
98101,Downtown,1727.146814404432,2013
98126,West Seattle,1124.6537396121885,2013
98104,Pioneer Square,1405.8171745152354,2013
98103,Wallingford,1940.8895522388061,2014
98115,Wedgewood,1987.347014925373,2014
98133,North Park,1213.0559701492539,2014
98122,Capitol Hill/Madrona,1729.25,2014
98125,Lake City,1060.7787313432834,2014
98109,Westlake,1715.5,2014
98105,University District,2720.342537313433,2014
98118,Rainier Valley,1409.2097014925373,2014
98102,Captiol Hill,1506.25,2014
98107,Ballard,1780.0,2014
98117,Ballard,2655.302089552239,2014
98121,BellTown,1749.25,2014
98116,West Seattle/Alki,2197.050839552239,2014
98112,Montlake,2535.8031716417913,2014
98101,Downtown,2322.8731343283584,2014
98126,West Seattle,1740.2191231343284,2014
98104,Pioneer Square,2013.1567164179105,2014
98103,Wallingford,1675.417661097852,2015
98115,Wedgewood,1474.75,2015
98133,North Park,1073.9856801909307,2015
98122,Capitol Hill/Madrona,1800.0,2015
98125,Lake City,1170.6443914081146,2015
98109,Westlake,1834.75,2015
98105,University District,1508.25,2015
98118,Rainier Valley,1542.0286396181384,2015
98102,Captiol Hill,1740.0,2015
98107,Ballard,1731.25,2015
98117,Ballard,2309.069212410501,2015
98121,BellTown,1927.5,2015
98116,West Seattle/Alki,2186.634844868735,2015
98112,Montlake,2261.105011933174,2015
98101,Downtown,2019.0930787589498,2015
98126,West Seattle,1585.2028639618138,2015
98104,Pioneer Square,1989.0214797136036,2015
98103,Wallingford,1740.0,2016
98115,Wedgewood,1700.0,2016
98133,North Park,1251.1619727156246,2016
98122,Capitol Hill/Madrona,1826.0,2016
98125,Lake City,1200.906966811547,2016
98109,Westlake,1950.25,2016
98105,University District,1500.0,2016
98118,Rainier Valley,1657.7896138482024,2016
98102,Captiol Hill,1718.5,2016
98107,Ballard,1728.75,2016
98117,Ballard,2708.6614074316008,2016
98121,BellTown,2036.5,2016
98116,West Seattle/Alki,1601.0,2016
98112,Montlake,2719.192020701957,2016
98101,Downtown,2241.0,2016
98126,West Seattle,1763.0957465517674,2016
98104,Pioneer Square,1840.0,2016
98103,Wallingford,1795.0,2017
98115,Wedgewood,1725.5,2017
98133,North Park,1379.5,2017
98122,Capitol Hill/Madrona,1937.5,2017
98125,Lake City,1374.75,2017
98109,Westlake,2100.0,2017
98105,University District,1589.5,2017
98118,Rainier Valley,1762.5,2017
98102,Captiol Hill,1783.75,2017
98107,Ballard,1871.5,2017
98117,Ballard,1662.5,2017
98121,BellTown,2583.25,2017
98116,West Seattle/Alki,1835.25,2017
98112,Montlake,1645.0,2017
98101,Downtown,2542.5,2017
98126,West Seattle,1601.0,2017
98104,Pioneer Square,1977.0,2017
