"Seattle-Bellevue-Everett, WA MD",,,,,,,
2012 Occupational Employment,,,,,,,
and Wage Estimates,,,,,,,
Includes King and Snohomish Counties,,,,,,,
,,,,,,,
,,,,,,,
SOC,,Estimated,Average,,Percentiles,,Annual
Code,Occupational Title,Employment,Wage,25th,50th,75th,Wage
13-2011,Accountants & Auditors,"12,838",$34.34,$25.91,$32.06,$40.67,"$71,419"
27-2011,Actors,432,$19.96,$13.04,$16.99,$23.77,
15-2011,Actuaries,305,$51.88,$33.32,$44.88,$63.75,"$107,896"
23-1021,"Admin Law Judges, Adjudicators, & Hearing Officers",,$46.62,$37.87,$42.53,$51.03,"$96,979"
11-3011,Administrative Svcs Mgrs,"2,985",$50.54,$37.71,$46.89,$60.50,"$105,116"
25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Inst","1,608",$22.18,$16.88,$21.83,$27.20,"$46,130"
11-2011,Advertising & Promotions Mgrs,423,$47.27,$33.51,$43.45,$60.40,"$98,331"
41-3011,Advertising Sales Agents,"1,966",$31.86,$17.07,$24.07,$41.63,"$66,260"
17-3021,Aerospace Engineering & Operations Technicians,531,$32.71,$24.91,$32.77,$39.65,"$68,033"
17-2011,Aerospace Engineers,"7,260",$49.31,$40.17,$48.42,$58.02,"$102,583"
13-1011,"Agents/Business Mgrs of Artists, Performers, Athletes",,$46.59,$28.01,$37.02,$43.12,"$96,912"
19-4011,Agricultural & Food Science Technicians,34,$19.57,$13.87,$20.29,$25.19,"$40,707"
45-2011,Agricultural Inspectors,46,$23.42,$18.81,$22.04,$28.59,"$48,724"
45-2099,"Agricultural Wkrs, All Other",,$16.49,$12.95,$14.75,$18.36,"$34,309"
53-1011,Aircraft Cargo Handling Supervisors,,$25.84,$17.16,$20.95,$38.13,"$53,749"
49-3011,Aircraft Mechanics & Svc Technicians,"4,223",$27.59,$20.75,$26.89,$34.37,"$57,391"
53-2022,Airfield Operations Specialists,,$28.59,$24.63,$27.49,$31.24,"$59,472"
53-2011,"Airline Pilots, Copilots, & Flight Engineers",970,,,,,"$141,179"
39-3091,Amusement & Recreation Attendants,"3,090",$11.50,$9.28,$10.28,$12.04,"$23,923"
29-1061,Anesthesiologists,,$121.32,,,,"$252,348"
