"Seattle-Bellevue-Everett, WA MD",,,,,,,
2014 Occupational Employment,,,,,,,
and Wage Estimates,,,,,,,
Includes King and Snohomish Counties,,,,,,,
,To index,,,,,,
,,,,,,,
SOC,"Seattle-Bellevue-Everett, WA MD",Estimated,Average,,Percentiles,,Annual
Code,Occupational Title,Employment,Wage,25th,50th,75th,Wage
,,,,,,,
13-2011,Accountants & Auditors," 16,416 ",$37.45,$26.83,$33.91,$44.49,"$77,893"
27-2011,Actors, 251 ,,,,,
15-2011,Actuaries, 420 ,$45.87,$34.98,$42.64,$54.67,"$95,425"
51-9191,Adhesive Bonding Machine Operators & Tenders, 201 ,$24.04,$16.63,$21.66,$33.54,"$50,009"
23-1021,"Admin Law Judges, Adjudicators & Hearing Officers", 144 ,$47.16,$38.60,$43.88,$50.19,"$98,086"
11-3011,Administrative Services Managers," 2,836 ",$48.21,$34.33,$44.50,$57.79,"$100,271"
25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors"," 3,180 ",$26.86,$22.99,$27.33,$31.93,"$55,857"
11-2011,Advertising & Promotions Managers, 577 ,$53.65,$36.63,$51.58,$66.67,"$111,596"
41-3011,Advertising Sales Agents," 1,268 ",$31.92,$17.59,$27.36,$38.50,"$66,387"
17-3021,Aerospace Engineering & Operations Technicians, 840 ,$33.75,$24.90,$35.39,$41.76,"$70,213"
17-2011,Aerospace Engineers," 8,009 ",$51.30,$41.79,$50.29,$59.96,"$106,716"
13-1011,"Agents/Business Mgrs of Artists, Performers, Athletes", 40 ,,,,,
19-4011,Agricultural & Food Science Technicians, 36 ,$18.37,$13.81,$17.30,$22.43,"$38,212"
45-2011,Agricultural Inspectors, 53 ,$29.35,$25.21,$29.56,$34.00,"$61,050"
45-2099,"Agricultural Workers, All Other",,$24.56,$23.69,$25.88,$28.06,"$51,082"
53-2021,Air Traffic Controllers, 578 ,$58.44,$47.17,$56.73,$73.44,"$121,563"
53-1011,Aircraft Cargo Handling Supervisors, 111 ,$19.91,$17.04,$18.87,$22.21,"$41,412"
49-3011,Aircraft Mechanics & Service Technicians," 2,247 ",$33.81,$27.44,$35.06,$41.62,"$70,330"
51-2011,Aircraft Structure/Surface/Rigging/System Assemblers," 13,823 ",$25.98,$19.19,$23.73,$33.80,"$54,034"
53-2022,Airfield Operations Specialists,,$26.45,$15.84,$18.32,$33.59,"$55,009"
53-2011,"Airline Pilots, Copilots & Flight Engineers"," 2,037 ",,,,,"$109,845"
39-3091,Amusement & Recreation Attendants," 1,970 ",$12.42,$9.49,$10.95,$13.87,"$25,836"
33-9011,Animal Control Workers, 69 ,$28.19,$25.48,$27.70,$30.92,"$58,635"
39-2011,Animal Trainers,,$18.50,$14.05,$20.48,$22.11,"$38,472"
19-3091,Anthropologists & Archeologists, 56 ,$31.05,$23.14,$29.78,$38.09,"$64,578"
25-1061,"Anthropology & Archeology Teachers, Postsecondary", 75 ,,,,,"$71,751"
13-2021,Appraisers & Assessors of Real Estate, 576 ,$34.58,$25.33,$33.11,$42.44,"$71,918"
23-1022,"Arbitrators, Mediators, & Conciliators", 74 ,$36.87,$29.33,$33.60,$40.54,"$76,678"
17-1011,"Architects, Except Landscape & Naval"," 2,213 ",$36.55,$27.90,$34.04,$42.62,"$76,030"
17-3011,Architectural & Civil Drafters, 859 ,$27.58,$20.81,$27.44,$33.55,"$57,374"
11-9041,Architectural & Engineering Managers," 3,683 ",$67.03,$54.78,$66.30,$78.67,"$139,434"
25-4011,Archivists, 239 ,$29.23,$21.07,$25.89,$38.09,"$60,804"
25-1062,"Area, Ethnic & Cultural Studies Teachers, Postsecondary", 122 ,,,,,"$67,785"
27-1011,Art Directors, 582 ,$49.95,$39.34,$45.60,$56.21,"$103,893"
25-1121,"Art, Drama & Music Teachers Postsecondary", 718 ,,,,,"$63,738"
27-1019,"Artists & Related Workers, All Other", 22 ,$23.49,$17.33,$20.12,$28.98,"$48,866"
51-2099,"Assemblers & Fabricators, All Other"," 3,216 ",$15.94,$12.51,$14.69,$17.92,"$33,146"
27-2021,Athletes & Sports Competitors, 290 ,,,,,"$112,381"
29-9091,Athletic Trainers, 164 ,,,,,"$48,987"
19-2021,Atmospheric & Space Scientists, 144 ,$44.64,$31.79,$42.66,$54.85,"$92,855"
25-1051,"Atmospheric/Earth/Marine/Space Sci Teachers, Postsec", 181 ,,,,,"$97,155"
27-4011,Audio & Video Equipment Technicians, 820 ,$23.62,$16.92,$22.09,$29.46,"$49,129"
29-1181,Audiologists, 148 ,$48.43,$37.25,$44.20,$56.49,"$100,726"
25-9011,Audio-Visual & Multimedia Collections Specialists, 31 ,$20.72,$17.10,$19.26,$22.69,"$43,099"
53-6031,Automotive & Watercraft Service Attendants, 940 ,$12.35,$10.29,$11.34,$13.46,"$25,691"
49-3021,Automotive Body & Related Repairers, 642 ,$25.07,$18.06,$23.47,$29.09,"$52,152"
49-3022,Automotive Glass Installers & Repairers, 648 ,$18.01,$13.29,$16.68,$21.57,"$37,465"
49-3023,Automotive Service Technicians & Mechanics," 4,630 ",$22.63,$17.00,$22.06,$27.78,"$47,053"
39-6011,Baggage Porters & Bellhops, 656 ,$11.16,$9.39,$9.55,$11.38,"$23,216"
33-3011,Bailiffs, 83 ,$26.92,$24.35,$28.44,$32.35,"$56,005"
51-3011,Bakers," 2,786 ",$13.33,$9.49,$12.28,$16.05,"$27,729"
39-5011,Barbers,,$13.54,$9.37,$10.67,$16.00,"$28,174"
35-3011,Bartenders," 7,182 ",$13.98,$9.51,$11.40,$16.59,"$29,071"
49-3091,Bicycle Repairers, 87 ,$13.28,$11.02,$12.79,$14.92,"$27,633"
43-3011,Bill & Account Collectors," 2,663 ",$17.61,$13.67,$17.48,$21.08,"$36,625"
43-3021,Billing & Posting Clerks & Machine Operators," 5,763 ",$20.17,$16.88,$20.13,$23.17,"$41,941"
19-1021,Biochemists & Biophysicists, 327 ,$41.92,$25.72,$39.95,$53.46,"$87,180"
25-1042,"Biological Science Teachers, Postsecondary", 571 ,,,,,"$91,408"
19-1029,"Biological Scientists, All Other", 633 ,$35.50,$23.78,$34.30,$42.85,"$73,835"
19-4021,Biological Technicians," 2,070 ",$21.81,$17.02,$20.95,$26.15,"$45,375"
17-2031,Biomedical Engineers, 322 ,$38.11,$24.70,$31.31,$46.03,"$79,278"
47-2011,Boilermakers, 122 ,$23.79,$20.02,$24.09,$28.54,"$49,484"
43-3031,"Bookkeeping, Accounting & Auditing Clerks"," 17,605 ",$20.65,$16.30,$19.86,$24.02,"$42,943"
47-3011,Brick/Block/Stonemason & Tile/Marble Setter Helpers, 256 ,$25.16,$19.37,$25.97,$30.63,"$52,317"
47-2021,Brickmasons & Blockmasons, 335 ,$34.05,$29.23,$33.15,$37.33,"$70,825"
53-6011,Bridge & Lock Tenders, 52 ,$24.79,$17.95,$26.15,$29.11,"$51,564"
27-4012,Broadcast Technicians, 377 ,$16.88,$12.80,$14.90,$18.45,"$35,107"
43-4011,Brokerage Clerks, 442 ,$22.47,$17.33,$22.01,$26.94,"$46,740"
37-2019,"Building Cleaning Workers, All Other",,$13.26,$10.89,$12.83,$15.48,"$27,569"
49-3031,Bus & Truck Mechanics & Diesel Engine Specialists," 2,214 ",$28.29,$23.99,$28.14,$33.30,"$58,859"
53-3022,"Bus Drivers, School or Special Client"," 3,018 ",$18.33,$16.05,$18.99,$21.39,"$38,119"
53-3021,"Bus Drivers, Transit & Intercity"," 3,501 ",$23.30,$11.52,$25.81,$32.11,"$48,475"
13-1199,"Business Operations Specialists, All Other"," 16,928 ",$35.96,$25.06,$33.20,$44.53,"$74,800"
25-1011,"Business Teachers, Postsecondary", 668 ,,,,,"$91,520"
51-3021,Butchers & Meat Cutters," 1,118 ",$17.52,$11.44,$19.38,$22.20,"$36,450"
13-1021,"Buyers & Purchasing Agents, Farm Products",,$40.89,$23.60,$32.48,$60.08,"$85,037"
51-7011,Cabinetmakers & Bench Carpenters, 527 ,$19.69,$14.81,$18.74,$25.14,"$40,963"
27-4031,"Camera Operators, TV, Video & Motion Picture", 409 ,$22.21,$16.35,$20.21,$29.62,"$46,185"
53-5021,"Captains, Mates & Pilots of Water Vessels"," 1,113 ",$36.14,$29.81,$35.74,$43.47,"$75,161"
29-2031,Cardiovascular Technologists & Technicians, 509 ,$31.59,$23.71,$31.83,$38.11,"$65,711"
43-5011,Cargo & Freight Agents," 1,262 ",$24.75,$15.97,$21.91,$29.73,"$51,479"
47-3012,Carpenter Helpers, 148 ,$22.12,$17.32,$21.91,$26.58,"$46,013"
47-2031,Carpenters," 9,480 ",$25.88,$19.65,$25.49,$32.04,"$53,815"
47-2041,Carpet Installers,,$21.64,$16.47,$18.33,$30.19,"$45,011"
17-1021,Cartographers & Photogrammetrists, 191 ,$38.74,$33.28,$40.17,$44.91,"$80,583"
41-2011,Cashiers," 25,736 ",$13.61,$10.10,$11.78,$16.05,"$28,290"
47-2051,Cement Masons & Concrete Finishers, 800 ,$22.43,$13.30,$21.74,$31.50,"$46,660"
35-1011,Chefs & Head Cooks," 1,441 ",$24.12,$19.45,$22.61,$28.29,"$50,181"
17-2041,Chemical Engineers, 113 ,$38.68,$24.25,$39.14,$49.08,"$80,452"
51-9011,Chemical Equipment Operators & Tenders, 133 ,$25.11,$20.57,$23.43,$27.16,"$52,215"
19-4031,Chemical Technicians, 324 ,$21.20,$17.90,$20.25,$22.57,"$44,080"
25-1052,"Chemistry Teachers, Postsecondary", 193 ,,,,,"$80,411"
19-2031,Chemists, 771 ,$33.18,$21.40,$32.02,$44.05,"$69,029"
11-1011,Chief Executives," 1,962 ",,,,,"$218,305"
21-1021,"Child, Family & School Social Workers"," 2,145 ",$22.66,$18.22,$23.64,$26.01,"$47,126"
39-9011,Childcare Workers," 3,839 ",$12.08,$9.93,$11.24,$13.71,"$25,141"
29-1011,Chiropractors, 367 ,$28.23,$20.63,$22.73,$26.56,"$58,710"
27-2032,Choreographers,,$36.45,$30.85,$37.04,$42.96,"$75,818"
17-3022,Civil Engineering Technicians, 776 ,$29.35,$24.17,$28.17,$33.86,"$61,037"
17-2051,Civil Engineers," 6,150 ",$41.95,$33.18,$40.59,$49.92,"$87,260"
13-1031,"Claims Adjusters, Examiners & Investigators"," 3,805 ",$32.75,$26.14,$31.65,$37.94,"$68,120"
