"Seattle-Bellevue-Everett, WA MD",,,,,,,
2015 Occupational Employment,,,,,,,
and Wage Estimates,,,,,,,
Includes King and Snohomish counties,,,,,,,
Index,,,,,,,
,,,,,,,
SOC,"Seattle-Bellevue-Everett, WA MD", Estimated ,Average,,Percentiles,,Annual
code,Occupational title, employment ,wage,25th,50th,75th,wage
,,,,,,,
13-2011,Accountants & Auditors," 15,904 ",$37.85,$26.99,$34.46,$45.17,"$78,725"
27-2011,Actors, 245 ,,,,,
15-2011,Actuaries, 449 ,$48.67,$37.23,$45.31,$58.54,"$101,245"
23-1021,"Admin Law Judges, Adjudicators & Hearing Officers", 140 ,$48.59,$39.83,$45.85,$52.49,"$101,072"
11-3011,Administrative Services Managers," 2,795 ",$49.33,$36.01,$46.29,$59.21,"$102,614"
25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors"," 3,194 ",$27.20,$23.10,$27.71,$32.48,"$56,590"
11-2011,Advertising & Promotions Managers, 518 ,$57.94,$41.87,$54.82,$66.47,"$120,500"
41-3011,Advertising Sales Agents," 1,572 ",$26.73,$17.17,$21.87,$32.96,"$55,597"
17-2011,Aerospace Engineers," 8,397 ",,,,,
13-1011,"Agents/Business Mgrs of Artists, Performers, Athletes", 19 ,$18.42,$16.30,$17.71,$19.11,"$38,318"
19-4011,Agricultural & Food Science Technicians, 29 ,$19.07,$15.68,$18.79,$23.45,"$39,666"
45-2011,Agricultural Inspectors, 74 ,$29.75,$25.57,$29.88,$34.42,"$61,887"
45-2099,"Agricultural Workers, All Other",,$22.70,$17.10,$24.54,$27.84,"$47,203"
53-2021,Air Traffic Controllers, 585 ,$57.59,$45.82,$58.24,$73.17,"$119,795"
53-1011,Aircraft Cargo Handling Supervisors, 165 ,$19.33,$16.78,$18.33,$21.29,"$40,200"
49-3011,Aircraft Mechanics & Service Technicians," 3,398 ",,,,,
53-2022,Airfield Operations Specialists,,$26.87,$16.14,$19.11,$34.00,"$55,897"
53-2011,"Airline Pilots, Copilots & Flight Engineers"," 1,913 ",,,,,
53-3011,Ambulance Drivers/Attendants (Not EMTs), 792 ,$16.56,$14.17,$16.55,$18.69,"$34,445"
39-3091,Amusement & Recreation Attendants," 1,896 ",$11.62,$9.78,$10.85,$11.92,"$24,177"
29-1061,Anesthesiologists,,,,,,
33-9011,Animal Control Workers, 58 ,$28.57,$25.85,$28.05,$30.92,"$59,420"
19-1011,Animal Scientists,,$35.45,$31.06,$37.89,$43.62,"$73,736"
39-2011,Animal Trainers, 98 ,$13.00,$10.80,$11.99,$14.57,"$27,038"
19-3091,Anthropologists & Archeologists, 45 ,$33.41,$24.14,$33.17,$39.77,"$69,487"
25-1061,"Anthropology & Archeology Teachers, Postsecondary", 96 ,,,,,"$75,936"
13-2021,Appraisers & Assessors of Real Estate,,$36.73,$31.35,$35.97,$41.98,"$76,392"
23-1022,"Arbitrators, Mediators, & Conciliators", 74 ,$41.64,$32.23,$38.55,$46.72,"$86,613"
17-1011,"Architects, Except Landscape & Naval"," 2,277 ",$37.05,$27.58,$34.57,$44.87,"$77,062"
17-3011,Architectural & Civil Drafters," 1,017 ",$27.76,$22.24,$27.97,$33.61,"$57,756"
