title,est_emp,ann_wage,monthly_rent_allowance,year
Retail Salespersons,44599,28948,804.1111111111112,2011
Cashiers,26857,25404,705.6666666666666,2011
Registered Nurses,22921,78358,2176.611111111111,2011
"Office Clerks, General",22151,33159,921.0833333333334,2011
Waiters & Waitresses,20274,28799,799.9722222222222,2011
Stock Clerks & Order Fillers,16196,31107,864.0833333333334,2011
"Business Operations Specialists, All Other",15808,72553,2015.361111111111,2011
Accountants & Auditors,12160,68897,1913.8055555555557,2011
"Cooks, Restaurant",11770,26966,749.0555555555555,2011
Receptionists & Information Clerks,10679,29716,825.4444444444445,2011
Carpenters,10337,52949,1470.8055555555557,2011
"Truck Drivers, Heavy & Tractor-Trailer",10162,46091,1280.3055555555554,2011
Teacher Assistants,9933,32092,891.4444444444445,2011
Management Analysts,9644,91466,2540.722222222222,2011
Computer Systems Analysts,9510,90096,2502.6666666666665,2011
Executive Secretaries & Administrative Assistants,9087,51965,1443.4722222222224,2011
Security Guards,7798,42912,1192.0,2011
Medical Secretaries,7779,40788,1133.0,2011
Computer Programmers,7607,94149,2615.25,2011
"Packers & Packagers, Hand",7436,24912,692.0,2011
Counter & Rental Clerks,7115,27573,765.9166666666666,2011
Lawyers,6504,129583,3599.527777777778,2011
Home Health Aides,5947,24326,675.7222222222223,2011
Civil Engineers,5942,83135,2309.3055555555557,2011
Bartenders,5671,28480,791.1111111111112,2011
Construction Laborers,5232,41465,1151.8055555555554,2011
Electricians,5156,69563,1932.3055555555557,2011
Team Assemblers,5047,33643,934.5277777777778,2011
Medical Assistants,4966,35736,992.6666666666666,2011
Order Clerks,4609,36242,1006.7222222222222,2011
Industrial Truck & Tractor Operators,4573,41302,1147.2777777777778,2011
Tellers,4569,27629,767.4722222222222,2011
Dental Assistants,4269,39920,1108.888888888889,2011
Dining Room & Cafeteria Attendants & Bartender Helpers,4214,21143,587.3055555555555,2011
"Plumbers, Pipefitters, & Steamfitters",4019,63308,1758.5555555555557,2011
Dishwashers,3994,21383,593.9722222222223,2011
Paralegals & Legal Assistants,3811,53517,1486.5833333333333,2011
Mechanical Engineers,3687,91417,2539.361111111111,2011
"Painters, Construction & Maintenance",3378,38436,1067.6666666666667,2011
Police & Sheriff's Patrol Officers,3355,72678,2018.8333333333333,2011
Fitness Trainers & Aerobics Instructors,3320,42957,1193.25,2011
Public Relations Specialists,3277,61020,1695.0,2011
Telemarketers,3129,24145,670.6944444444445,2011
"Food Servers, Nonrestaurant",3035,26187,727.4166666666666,2011
Rehabilitation Counselors,3028,41244,1145.6666666666667,2011
Amusement & Recreation Attendants,3023,22074,613.1666666666666,2011
Loan Officers,2997,82989,2305.25,2011
Pharmacy Technicians,2963,39020,1083.888888888889,2011
Insurance Claims & Policy Processing Clerks,2943,40466,1124.0555555555554,2011
Coaches & Scouts,2927,35171,976.9722222222222,2011
Machinists,2900,51902,1441.7222222222224,2011
Insurance Sales Agents,2897,68246,1895.7222222222224,2011
Financial Analysts,2870,87324,2425.6666666666665,2011
Bill & Account Collectors,2847,36641,1017.8055555555555,2011
"Vocational Education Teachers, Postsecondary",2816,64217,1783.8055555555557,2011
Cost Estimators,2657,69696,1936.0,2011
Pharmacists,2601,107147,2976.305555555555,2011
Cleaners of Vehicles & Equipment,2519,27275,757.6388888888888,2011
Graphic Designers,2438,55613,1544.8055555555557,2011
Gaming Dealers,2425,28767,799.0833333333334,2011
Dental Hygienists,2402,92947,2581.861111111111,2011
"Cooks, Institution & Cafeteria",2252,31180,866.1111111111112,2011
Self-Enrichment Education Teachers,2240,46150,1281.9444444444446,2011
Legal Secretaries,2235,49404,1372.3333333333333,2011
Medical Records & Health Information Technicians,2221,41584,1155.111111111111,2011
Electrical & Electronic Equipment Assemblers,2218,33757,937.6944444444445,2011
Taxi Drivers & Chauffeurs,2101,24103,669.5277777777777,2011
Parts Salespersons,2049,35832,995.3333333333334,2011
Reservation/Transportation Ticket Agents/Travel Clerks,2026,30721,853.3611111111112,2011
Environmental Scientists & Specialists (Inc Health),2000,77637,2156.5833333333335,2011
Data Entry Keyers,1981,31704,880.6666666666666,2011
Industrial Machinery Mechanics,1920,58715,1630.9722222222224,2011
Physical Therapists,1909,78835,2189.861111111111,2011
Librarians,1900,64465,1790.6944444444443,2011
Loan Interviewers & Clerks,1883,39275,1090.9722222222222,2011
Database Administrators,1882,86271,2396.4166666666665,2011
Advertising Sales Agents,1836,59512,1653.111111111111,2011
Chief Executives,1695,217935,6053.75,2011
Medical & Clinical Laboratory Technologists,1689,63728,1770.2222222222224,2011
Mental Health Counselors,1680,44778,1243.8333333333333,2011
"Eligibility Interviewers, Government Programs",1677,45920,1275.5555555555554,2011
Printing Press Operators,1671,40483,1124.5277777777778,2011
Roofers,1659,46709,1297.4722222222222,2011
Nonfarm Animal Caretakers,1634,24508,680.7777777777777,2011
Editors,1612,73073,2029.8055555555557,2011
Bakers,1607,30548,848.5555555555555,2011
Payroll & Timekeeping Clerks,1590,44054,1223.7222222222222,2011
Human Resources Managers,1559,116735,3242.6388888888887,2011
"Health Technologists & Technicians, All Other",1490,49038,1362.1666666666667,2011
Emergency Medical Technicians & Paramedics,1484,44786,1244.0555555555554,2011
