title,est_emp,ann_wage,monthly_rent_allowance,year,98103: Wallingford: Wallingford: Wallingford,98115: Wedgewood: Wedgewood: Wedgewood,98133: North Park: North Park: North Park,98122: Capitol Hill/Madrona: Capitol Hill/Madrona: Capitol Hill/Madrona,98125: Lake City: Lake City: Lake City,98109: Westlake: Westlake: Westlake,98105: University District: University District: University District,98118: Rainier Valley: Rainier Valley: Rainier Valley,98102: Captiol Hill: Captiol Hill: Captiol Hill,98107: Ballard: Ballard: Ballard,98117: Ballard: Ballard: Ballard,98121: BellTown: BellTown: BellTown,98116: West Seattle/Alki: West Seattle/Alki: West Seattle/Alki,98112: Montlake: Montlake: Montlake,98101: Downtown: Downtown: Downtown,98126: West Seattle: West Seattle: West Seattle,98104: Pioneer Square: Pioneer Square: Pioneer Square
Retail Salespersons,44599,28948,804.1111111111112,2011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Cashiers,26857,25404,705.6666666666666,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Registered Nurses,22921,78358,2176.611111111111,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
"Office Clerks, General",22151,33159,921.0833333333334,2011,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Waiters & Waitresses,20274,28799,799.9722222222222,2011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Stock Clerks & Order Fillers,16196,31107,864.0833333333334,2011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
"Business Operations Specialists, All Other",15808,72553,2015.361111111111,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Accountants & Auditors,12160,68897,1913.8055555555557,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
"Cooks, Restaurant",11770,26966,749.0555555555555,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Receptionists & Information Clerks,10679,29716,825.4444444444445,2011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Carpenters,10337,52949,1470.8055555555557,2011,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True
"Truck Drivers, Heavy & Tractor-Trailer",10162,46091,1280.3055555555554,2011,False,True,True,True,True,False,True,True,False,False,True,False,True,True,False,True,True
Teacher Assistants,9933,32092,891.4444444444445,2011,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Management Analysts,9644,91466,2540.722222222222,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Computer Systems Analysts,9510,90096,2502.6666666666665,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Executive Secretaries & Administrative Assistants,9087,51965,1443.4722222222224,2011,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,True,True
Security Guards,7798,42912,1192.0,2011,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
Medical Secretaries,7779,40788,1133.0,2011,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False
Computer Programmers,7607,94149,2615.25,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
"Packers & Packagers, Hand",7436,24912,692.0,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Counter & Rental Clerks,7115,27573,765.9166666666666,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lawyers,6504,129583,3599.527777777778,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Home Health Aides,5947,24326,675.7222222222223,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Civil Engineers,5942,83135,2309.3055555555557,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bartenders,5671,28480,791.1111111111112,2011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Construction Laborers,5232,41465,1151.8055555555554,2011,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,True
Electricians,5156,69563,1932.3055555555557,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Team Assemblers,5047,33643,934.5277777777778,2011,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
Medical Assistants,4966,35736,992.6666666666666,2011,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False
Order Clerks,4609,36242,1006.7222222222222,2011,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False
