SOC code,Seattle-Bellevue-Everett WA MD occupational title, Estimated employment ,Average wage,25th percentile,50th percentile,75th percentile,Annual wage,,Index
13-2011,Accountants & Auditors," 17,257 ",$36.85,$26.71,$33.62,$43.08,"$76,644",,
27-2011,Actors, 450 ,,,,,,,
15-2011,Actuaries, 238 ,$56.84,$42.62,$54.80,$68.72,"$118,226",,
23-1021,"Admin Law Judges, Adjudicators & Hearing Officers", 121 ,$52.46,$41.83,$49.81,$57.14,"$109,122",,
11-3011,Administrative Services Managers," 2,946 ",$58.01,$41.66,$51.63,$65.99,"$120,665",,
25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Instructors"," 1,307 ",$25.40,$21.15,$25.48,$29.52,"$52,819",,
11-2011,Advertising & Promotions Managers, 501 ,$63.31,$48.65,$60.57,$74.20,"$131,665",,
41-3011,Advertising Sales Agents," 1,582 ",$25.90,$16.90,$20.70,$29.91,"$53,880",,
13-1011,"Agents/Business Mgrs of Artists, Performers, Athletes",,$37.53,$17.99,$25.81,$67.93,"$78,062",,
19-4011,Agricultural & Food Science Technicians,,$23.59,$16.57,$18.74,$33.27,"$49,083",,
45-2011,Agricultural Inspectors, 67 ,$28.41,$25.91,$28.04,$30.55,"$59,089",,
45-2099,"Agricultural Workers, All Other",,$20.01,$15.96,$18.16,$22.16,"$41,611",,
53-2021,Air Traffic Controllers, 453 ,$63.52,$54.10,$63.16,$75.15,"$132,113",,
53-1011,Aircraft Cargo Handling Supervisors, 170 ,$24.35,$18.24,$20.25,$27.97,"$50,648",,
53-2022,Airfield Operations Specialists, 123 ,$32.69,$24.84,$29.40,$36.44,"$67,992",,
53-2011,"Airline Pilots, Copilots & Flight Engineers"," 2,053 ",,,,,"$206,452",,
53-3011,Ambulance Drivers/Attendants (Not EMTs),,$13.65,$10.61,$12.15,$14.84,"$28,384",,
39-3091,Amusement & Recreation Attendants," 1,943 ",$12.44,$10.85,$11.74,$13.12,"$25,884",,
29-1061,Anesthesiologists, 31 ,$91.51,$29.83,$95.95,,"$190,346",,
33-9011,Animal Control Workers, 66 ,$29.92,$26.77,$29.57,$33.27,"$62,235",,
39-2011,Animal Trainers, 316 ,$19.26,$14.26,$19.29,$23.15,"$40,049",,
19-3091,Anthropologists & Archeologists, 87 ,$35.70,$27.30,$34.64,$43.96,"$74,247",,
25-1061,"Anthropology & Archeology Teachers, Postsecondary", 105 ,,,,,"$88,717",,
13-2021,Appraisers & Assessors of Real Estate, 368 ,$37.10,$28.62,$37.45,$48.45,"$77,175",,
23-1022,"Arbitrators, Mediators, & Conciliators", 95 ,$36.12,$21.75,$35.20,$48.22,"$75,128",,
17-1011,"Architects, Except Landscape & Naval"," 2,753 ",$37.73,$27.92,$35.65,$45.91,"$78,469",,
17-3011,Architectural & Civil Drafters," 1,227 ",$28.33,$21.00,$27.22,$33.80,"$58,936",,
11-9041,Architectural & Engineering Managers," 2,969 ",$76.37,$61.93,$74.84,$90.33,"$158,849",,
25-4011,Archivists, 81 ,$31.18,$22.44,$28.61,$40.51,"$64,849",,
25-1062,"Area, Ethnic & Cultural Studies Teachers, Postsecondary", 110 ,,,,,"$84,424",,
27-1011,Art Directors, 631 ,$51.11,$41.13,$48.67,$60.20,"$106,317",,
25-1121,"Art, Drama & Music Teachers Postsecondary"," 1,000 ",,,,,"$73,021",,
27-1019,"Artists & Related Workers, All Other", 53 ,$28.62,$17.71,$29.57,$36.54,"$59,513",,
51-2099,"Assemblers & Fabricators, All Other"," 1,761 ",$14.49,$11.22,$12.46,$16.33,"$30,139",,
27-2021,Athletes & Sports Competitors, 113 ,,,,,"$111,360",,
29-9091,Athletic Trainers, 187 ,,,,,"$52,333",,
19-2021,Atmospheric & Space Scientists, 187 ,$41.85,$29.89,$40.44,$50.93,"$87,046",,
25-1051,"Atmospheric/Earth/Marine/Space Science Teachers, Postsec", 223 ,,,,,"$101,831",,
27-4011,Audio & Video Equipment Technicians, 898 ,$23.12,$14.47,$21.22,$29.99,"$48,090",,
29-1181,Audiologists, 299 ,$42.45,$36.75,$42.26,$47.93,"$88,292",,
