,zipcode,neighborhood,2011,2012,2013,2014,2015,2016,2017
0,98103,Wallingford,,,,,,1740.0,1795.0
1,98115,Wedgewood,,,,,1474.75,1700.0,1725.5
2,98133,North Park,,,,,,,1379.5
3,98122,Capitol Hill/Madrona,1192.5,1405.0,1450.0,1729.25,1800.0,1826.0,1937.5
4,98125,Lake City,,,,,,,1374.75
5,98109,Westlake,1337.0,1450.0,1641.0,1715.5,1834.75,1950.25,2100.0
6,98105,University District,,,,,1508.25,1500.0,1589.5
7,98118,Rainier Valley,,,,,,,1762.5
8,98102,Captiol Hill,,1495.0,1462.5,1506.25,1740.0,1718.5,1783.75
9,98107,Ballard,,,1785.0,1780.0,1731.25,1728.75,1871.5
10,98117,Ballard,,,,,,,1662.5
11,98121,BellTown,1515.0,1528.75,1688.75,1749.25,1927.5,2036.5,2583.25
12,98116,West Seattle/Alki,,,,,,1601.0,1835.25
13,98112,Montlake,,,,,,,1645.0
14,98101,Downtown,,,,,,2241.0,2542.5
15,98126,West Seattle,,,,,,,1601.0
16,98104,Pioneer Square,,,,,,1840.0,1977.0
