zipcode,neighborhood,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
98103,Wallingford,1328.4647302904566,1283.0823947836398,1416.51986959099,1573.2952104327208,1580.1304090100768,1740.0,1795.0,1932.5337352827191,2056.8061453122646,2189.0355070959777
98115,Wedgewood,1202.778454047474,1160.5914485696894,1292.9868381010347,1424.9334297017651,1474.75,1700.0,1725.5,1921.2475871630013,2090.6793376654387,2275.3122319094837
98133,North Park,875.0030966767371,823.0113670694864,875.8366314199395,980.0284743202417,1010.6608761329304,1146.110271903323,1379.5,1582.5103636234999,1845.840361982584,2149.4777190089226
98122,Capitol Hill/Madrona,1192.5,1405.0,1450.0,1729.25,1800.0,1826.0,1937.5,1964.3214285746217,1977.7500000074506,1966.9642857164145
98125,Lake City,765.9306273632225,733.0444092908405,768.8468923142218,854.7753976001235,1014.168531522494,1189.1019947526813,1374.75,1659.9668651223183,1973.8833205848932,2333.877282589674
98109,Westlake,1337.0,1450.0,1641.0,1715.5,1834.75,1950.25,2100.0,2201.071428569965,2314.303571427241,2425.0535714281723
98105,University District,985.426497277677,1067.5453720508167,1211.253402903811,1357.6987295825772,1508.25,1500.0,1589.5,1639.8753889128566,1669.5221188813448,1682.152833610773
98118,Rainier Valley,994.9065420560747,975.1401869158881,1138.7616822429907,1260.6542056074766,1387.927570093458,1661.3621495327102,1762.5,2038.570093460381,2303.4784712940454,2596.109423674643
98102,Captiol Hill,1448.5233160621765,1495.0,1462.5,1506.25,1740.0,1718.5,1783.75,1916.2242783159018,2034.6806994862854,2165.7291820906103
98107,Ballard,1853.9955346760314,1798.7825015116987,1785.0,1780.0,1731.25,1728.75,1871.5,1909.52915751189,2007.2034936845303,2127.7046792432666
98117,Ballard,934.0480771026728,984.6630493658827,1045.5252246026262,1166.8148452529933,1306.5494312557198,1474.324090849661,1662.5,1894.1976876705885,2151.4645865634084,2438.7137958556414
98121,BellTown,1515.0,1528.75,1688.75,1749.25,1927.5,2036.5,2583.25,2876.2142857015133,3318.9107142984867,3824.5952380895615
98116,West Seattle/Alki,1130.7534938621338,1132.3030925401322,1138.3881019830028,1214.9231586402263,1412.9694287063267,1601.0,1835.25,2158.186311200261,2525.1227893680334,2947.2081304192543
98112,Montlake,1172.914201183432,1071.3184171597634,1115.1201923076924,1227.970599112426,1238.1119267751476,1433.6990199704142,1645.0,1898.019563615322,2205.804816931486,2564.018457233906
98101,Downtown,1817.176761433869,1781.7196538936953,1826.0410383189121,1950.1409147095176,2038.7836835599508,2241.0,2542.5,2843.9972982406616,3219.6155482828617,3652.4563217163086
98126,West Seattle,923.9069527193222,899.5047198688167,927.6086362394096,1080.0952446023502,1235.8634872916098,1385.7247881934954,1601.0,1882.7736247330904,2195.3874237835407,2551.1854469776154
98104,Pioneer Square,1141.8371607515658,1048.0125260960333,1149.3277661795407,1421.2943632567853,1638.3298538622132,1840.0,1977.0,2334.3289591372013,2663.492245748639,3029.465901181102
