zipcode,neighborhood,2011,2012,2013,2014,2015,2016,2017
98103,Wallingford,1656.7634854771784,1600.1659751037346,1766.579377593361,1962.0980497925311,1970.622406639004,2170.0,2300.0
98115,Wedgewood,1352.3746701846965,1304.9406332453825,1453.8027704485487,1602.160290237467,1658.1728232189973,1930.6662269129288,2295.0
98133,North Park,1316.9306825430576,1238.6800978099086,1318.185200935573,1475.0,1495.0,1597.5,1736.0
98122,Capitol Hill/Madrona,1807.0905172413793,1865.4346264367816,2100.387931034483,2195.0,2483.75,2485.0,2690.5
98125,Lake City,1081.1642430190025,1034.7430636095994,1085.2807534124365,1206.574802837006,1431.5692746899813,1678.5,1799.5
98105,University District,1143.4090909090908,1238.693181818182,1405.4403409090908,1575.3636363636363,1750.0511363636363,1865.9801136363635,2096.25
98118,Rainier Valley,1312.7121495327103,1286.6317757009344,1502.5193146417446,1663.3482866043614,1831.2769158878505,2192.0554205607477,2325.5
98102,Captiol Hill,1509.9239781306953,1558.3707367872948,1717.168445717261,1870.5831814631606,2009.1947409528768,2207.6918771153346,2584.5
98107,Ballard,1963.3598300970875,1904.8898665048544,1890.2943567961165,2116.7006067961165,2289.7072208737864,2415.0,2497.5
98117,Crown Hill,1289.4077214740657,1359.279217019369,1443.2964754664824,1610.7308690860868,1803.627635928949,2035.2323539849456,2295.0
98116,West Seattle/Alki,1412.5590179414542,1414.494806421152,1422.0963172804534,1517.7053824362606,1765.1085930122756,2000.0,2475.0
98144,Mt. Baker,1146.8399651466743,1209.4186755736275,1331.0413157130408,1604.9213621841416,1885.2163810630266,1917.9458321231486,2253.75
98112,Montlake,1778.9792899408283,1624.8872041420118,1691.3221153846155,1862.4842825443786,1877.8658099112424,2174.5161427514795,2495.0
98106,Highland Park,941.6518964779694,910.7493048623984,937.1986845857692,1028.9618387280764,1319.770069870241,1609.9035719378298,1892.75
98101,Downtown,2509.289617486339,2460.327868852459,2521.530054644809,2692.8961748633883,2815.3005464480875,3094.535519125683,3500.0
98126,West Seattle,1268.1358704564088,1234.641862530746,1273.2167258813884,1482.516739546324,1696.321057666029,1902.0176277671494,2197.5
98199,Magnolia,1643.7907263681593,1473.8431243781095,1416.3756218905473,1640.2437810945273,1875.0323383084578,2091.256218905473,2195.0
98104,Pioneer Square,1614.9635167464114,1482.2621411483256,1625.557894736842,2010.2153110047848,2317.180622009569,2602.413875598086,2838.75
