zipcode,neighborhood,2011,2012,2013,2014,2015,2016,2017,2018,2019
98103,Wallingford,1656.7634854771786,1600.1659751037344,1766.579377593361,1962.0980497925311,1970.6224066390039,2170.0,2300.0,2380.457231899538,2497.3651509923957
98115,Wedgewood,1352.3746701846965,1304.9406332453825,1453.802770448549,1602.160290237467,1658.172823218997,1930.6662269129288,2295.0,2452.1042216358837,2609.2084432717675
98133,North Park,1316.9306825430576,1238.6800978099084,1318.185200935573,1475.0,1495.0,1597.5,1736.0,1805.8448862428238,1875.6897724856476
98122,Capitol Hill/Madrona,1807.0905172413793,1865.4346264367816,2100.3879310344832,2195.0,2483.75,2485.0,2690.5,2795.2021472052006,2981.9355314861727
98125,Lake City,1081.1642430190025,1034.7430636095994,1085.2807534124363,1206.574802837006,1431.5692746899813,1678.5,1799.5,1879.238147188015,1980.384921835303
98105,University District,1143.4090909090908,1238.693181818182,1405.440340909091,1575.3636363636365,1750.0511363636365,1865.9801136363635,2096.25,2212.906813806386,2372.110642036431
98118,Rainier Valley,1312.7121495327106,1286.6317757009344,1502.5193146417444,1663.3482866043616,1831.2769158878507,2192.055420560748,2325.5,2494.297975077882,2663.0959501557636
98102,Captiol Hill,1509.923978130695,1558.3707367872946,1717.168445717261,1870.5831814631606,2009.1947409528768,2207.6918771153346,2584.5,2763.596003644884,2942.6920072897683
98107,Ballard,1963.3598300970873,1904.8898665048544,1890.2943567961167,2116.7006067961165,2289.707220873787,2415.0,2497.5,2586.523361032618,2675.5467220652363
98117,Crown Hill,1289.4077214740655,1359.279217019369,1443.2964754664824,1610.7308690860868,1803.627635928949,2035.2323539849453,2295.0,2606.1884167168746,2957.8827061212296
98116,West Seattle/Alki,1412.5590179414542,1414.4948064211521,1422.0963172804536,1517.7053824362604,1765.1085930122754,2000.0,2475.0,2863.7385046057957,3523.8994995314697
98144,Mt. Baker,1146.8399651466746,1209.4186755736275,1331.0413157130408,1604.9213621841416,1885.2163810630263,1917.9458321231489,2253.75,2366.3908518507487,2555.389420378507
98112,Montlake,1778.9792899408285,1624.8872041420118,1691.3221153846155,1862.4842825443784,1877.8658099112424,2174.5161427514795,2495.0,2614.336785009862,2733.673570019724
98106,Highland Park,941.6518964779693,910.7493048623984,937.1986845857692,1028.9618387280764,1319.7700698702408,1609.9035719378298,1892.75,2238.3462319977184,2646.692267930985
98101,Downtown,2509.289617486339,2460.3278688524592,2521.530054644809,2692.8961748633883,2815.300546448088,3094.535519125683,3500.0,3945.8799938049942,4473.967690390085
98126,West Seattle,1268.1358704564086,1234.641862530746,1273.2167258813886,1482.5167395463238,1696.321057666029,1902.0176277671494,2197.5,2558.777648264553,2985.850572560809
98199,Magnolia,1643.790726368159,1473.8431243781095,1416.375621890547,1640.2437810945273,1875.0323383084576,2091.256218905473,2195.0,2208.876556582478,2281.9943790704783
98104,Pioneer Square,1614.9635167464114,1482.2621411483256,1625.557894736842,2010.2153110047848,2317.180622009569,2602.4138755980857,2838.75,3008.033698689637,3184.9236153137504
