,2_digit_naics,3_digit_naics,industry,avg_wage,monthly_rent_allowance,year
0,11,nan,"Agriculture, forestry, fishing and hunting",76911.0,2136.4166666666665,2011
1,11,111.0,Crop production,27115.0,753.1944444444445,2011
2,11,112.0,Animal production,30803.0,855.6388888888888,2011
3,11,113.0,Forestry and logging,183894.0,5108.166666666667,2011
4,11,114.0,"Fishing, hunting and trapping",132929.0,3692.472222222222,2011
5,11,115.0,Agriculture and forestry support activities,28755.0,798.75,2011
6,23,nan,Construction,60962.0,1693.388888888889,2011
7,23,236.0,Construction of buildings,63458.0,1762.7222222222224,2011
8,23,237.0,Heavy and civil engineering construction,76859.0,2134.972222222222,2011
9,23,238.0,Specialty trade contractors,57086.0,1585.7222222222224,2011
10,31-33,nan,Manufacturing,78272.0,2174.222222222222,2011
11,31,311.0,Food manufacturing,52600.0,1461.111111111111,2011
12,31,312.0,Beverage and tobacco product manufacturing,54763.0,1521.1944444444443,2011
13,31,313.0,Textile mills,41718.0,1158.8333333333333,2011
14,31,314.0,Textile product mills,42075.0,1168.75,2011
15,31,315.0,Apparel manufacturing,39346.0,1092.9444444444446,2011
16,31,316.0,Leather and allied product manufacturing,41668.0,1157.4444444444446,2011
17,32,321.0,Wood product manufacturing,50376.0,1399.3333333333333,2011
18,32,322.0,Paper manufacturing,55131.0,1531.4166666666667,2011
19,32,323.0,Printing and related support activities,50040.0,1390.0,2011
20,32,324.0,Petroleum and coal products manufacturing,69988.0,1944.111111111111,2011
21,32,325.0,Chemical manufacturing,92188.0,2560.777777777778,2011
22,32,326.0,Plastics and rubber products manufacturing,45353.0,1259.8055555555554,2011
23,32,327.0,Nonmetallic mineral product manufacturing,52533.0,1459.25,2011
24,33,331.0,Primary metal manufacturing,68335.0,1898.1944444444443,2011
25,33,332.0,Fabricated metal product manufacturing,50198.0,1394.388888888889,2011
26,33,333.0,Machinery manufacturing,66121.0,1836.6944444444443,2011
27,33,334.0,Computer and electronic product manufacturing,86007.0,2389.0833333333335,2011
28,33,335.0,Electrical equipment and appliance mfg.,68181.0,1893.9166666666667,2011
29,33,336.0,Transportation equipment manufacturing,99723.0,2770.0833333333335,2011
30,33,337.0,Furniture and related product manufacturing,40447.0,1123.5277777777778,2011
31,33,339.0,Miscellaneous manufacturing,63033.0,1750.9166666666667,2011
32,42,nan,Wholesale trade,76745.0,2131.8055555555557,2011
33,42,423.0,"Merchant wholesalers, durable goods",78608.0,2183.5555555555557,2011
34,42,424.0,"Merchant wholesalers, nondurable goods",64622.0,1795.0555555555557,2011
35,42,425.0,Electronic markets and agents and broker,91487.0,2541.3055555555557,2011
36,44-45,nan,Retail trade,38205.0,1061.25,2011
37,44,441.0,Motor vehicle and parts dealers,49093.0,1363.6944444444446,2011
38,44,442.0,Furniture and home furnishings stores,35469.0,985.25,2011
39,44,443.0,Electronics and appliance stores,43433.0,1206.4722222222222,2011
40,44,444.0,Building material and garden supply stores,33843.0,940.0833333333334,2011
