RegionName,neighborhood,2011,,2012,,2013,,2014,,2015,,2016,2017
98101,Downtown,1706,1595,1912,1815,1852,1727,1943,1907,2092,2019,2241,2542.5
98102,Captiol Hill,1167,1091,1495,1495,1462.5,1462.5,1506.25,1506.25,1740,1740,1718.5,1783.75
98103,Wallingford,1340,1252,1456,1382,1666,1553,1624,1593,1736,1675,1740,1795
98104,Pioneer Square,1237,1156,1206,1144,1508,1406,1684,1652,2061,1989,1840,1977
98105,University District,1498,1400,2038,1935,2003,1868,2276,2233,1508.25,1508.25,1500,1589.5
98107,Ballard,1394,1303,1529,1451,1785,1785,1780,1780,1731.25,1731.25,1728.75,1871.5
98109,Westlake,1337,1337,1450,1450,1641,1641,1715.5,1715.5,1834.75,1834.75,1950.25,2100
98112,Montlake,,1875,1934,1836,2231,2081,2122,2081,2342,1474.75,,1645
98115,Wedgewood,1394,1303,1512,1435,1761,1642,1663,1631,1474.75,1875,1700,1725.5
98116,West Seattle/Alki,1556,1455,1820,1727,1628,1518,1838,1803,2265,2187,1601,1835.25
98117,Ballard,1564,1462,2023,1920,1831,1707,2222,2180,2392,2309,,1662.5
98118,Rainier Valley,942,881,1056,1002,1297,1209,1179,1157,1598,1542,,1762.5
98121,BellTown,1515,1515,1528.75,1528.75,1688.75,1688.75,1749.25,1749.25,1927.5,1927.5,2036.5,2583.25
98122,Capitol Hill/Madrona,1192.5,1192,1405,1405,1450,1450,1729.25,1729.25,1800,1800,1826,1937.5
98125,Lake City,751,702,801,760,850,793,888,871,1213,1171,,1374.75
98126,West Seattle,1098,1026,1213,1152,1206,1125,1456,1428,1642,1585,,1601
98133,North Park,874,817,898,852,1014,945,1015,996,1113,1074,,1379.5
